"member_casual","day_of_week","hour","event_type","trip_count"
casual,5,5,start,1724
member,5,6,end,14682
casual,5,6,end,3924
member,5,6,start,17357
casual,5,6,start,4564
member,5,7,end,31854
casual,5,7,end,7733
member,5,7,start,35648
casual,5,7,start,8561
member,5,8,end,46482
casual,5,8,end,10941
member,5,8,start,45697
casual,5,8,start,11270
member,5,9,end,28736
casual,5,9,end,8839
member,5,9,start,25567
casual,5,9,start,8805
casual,5,10,end,7642
member,5,10,end,18436
casual,5,10,start,8428
member,5,10,start,18234
casual,5,11,end,9694
member,5,11,end,20475
casual,5,11,start,10700
member,5,11,start,21201
casual,5,12,end,12672
member,5,12,end,24827
casual,5,12,start,13368
member,5,12,start,25114
casual,5,13,end,13554
member,5,13,end,24382
casual,5,13,start,13894
member,5,13,start,24450
casual,5,14,end,14475
member,5,14,end,24196
casual,5,14,start,14886
member,5,14,start,24529
casual,5,15,end,17333
member,5,15,end,31942
casual,5,15,start,18023
member,5,15,start,34490
casual,5,16,end,21939
member,5,16,end,48763
casual,5,16,start,23115
member,5,16,start,53676
casual,5,17,end,28052
member,5,17,end,64924
casual,5,17,start,28448
member,5,17,start,64415
member,5,18,end,51326
casual,5,18,end,25603
member,5,18,start,47887
casual,5,18,start,24226
member,5,19,end,35357
casual,5,19,end,19610
member,5,19,start,32386
casual,5,19,start,17761
member,5,20,end,23612
casual,5,20,end,13633
member,5,20,start,22268
casual,5,20,start,12389
member,5,21,end,18784
casual,5,21,end,11202
member,5,21,start,17864
casual,5,21,start,10838
member,5,22,end,14265
casual,5,22,end,10266
member,5,22,start,13300
casual,5,22,start,9626
member,5,23,end,8798
casual,5,23,end,7230
member,5,23,start,7758
casual,5,23,start,6320
member,6,0,end,5561
casual,6,0,end,5934
member,6,0,start,4345
casual,6,0,start,4268
member,6,1,end,2624
casual,6,1,end,3016
member,6,1,start,2356
casual,6,1,start,2779
casual,6,2,end,2036
member,6,2,end,1452
casual,6,2,start,1648
member,6,2,start,1248
casual,6,3,end,930
member,6,3,end,920
casual,6,3,start,879
member,6,3,start,924
casual,6,4,end,867
member,6,4,end,1096
casual,6,4,start,818
member,6,4,start,1205
casual,6,5,end,1549
member,6,5,end,4348
casual,6,5,start,1862
member,6,5,start,5272
casual,6,6,end,3613
member,6,6,end,12581
casual,6,6,start,4143
member,6,6,start,14525
casual,6,7,end,6793
member,6,7,end,24310
casual,6,7,start,7494
member,6,7,start,26684
casual,6,8,end,9191
member,6,8,end,32724
casual,6,8,start,9648
member,6,8,start,32379
casual,6,9,end,8812
member,6,9,end,24399
casual,6,9,start,9713
member,6,9,start,22860
member,6,10,end,19256
casual,6,10,end,10381
member,6,10,start,19104
casual,6,10,start,11901
member,6,11,end,22534
casual,6,11,end,13646
member,6,11,start,24057
casual,6,11,start,15443
member,6,12,end,27997
casual,6,12,end,18769
member,6,12,start,28456
casual,6,12,start,19718
member,6,13,end,28978
casual,6,13,end,20158
member,6,13,start,28791
casual,6,13,start,20400
member,6,14,end,28866
casual,6,14,end,21094
member,6,14,start,29869
casual,6,14,start,21503
member,6,15,end,36635
casual,6,15,end,24100
member,6,15,start,38440
casual,6,15,start,24845
member,6,16,end,45983
casual,6,16,end,28279
member,6,16,start,48183
casual,6,16,start,28953
member,6,17,end,51868
casual,6,17,end,30920
member,6,17,start,51967
casual,6,17,start,30425
casual,6,18,end,27916
member,6,18,end,45016
casual,6,18,start,26475
member,6,18,start,42777
casual,6,19,end,21939
member,6,19,end,32213
casual,6,19,start,19612
member,6,19,start,29391
casual,6,20,end,15269
member,6,20,end,21465
casual,6,20,start,13813
member,6,20,start,19873
casual,6,21,end,12125
member,6,21,end,16584
casual,6,21,start,11509
member,6,21,start,15793
casual,6,22,end,11219
member,6,22,end,13829
casual,6,22,start,11220
member,6,22,start,13347
casual,6,23,end,10808
member,6,23,end,11069
casual,6,23,start,10295
member,6,23,start,10462
casual,7,0,end,10425
member,7,0,end,8456
casual,7,0,start,9393
member,7,0,start,7845
casual,7,1,end,7097
member,7,1,end,5870
casual,7,1,start,6804
member,7,1,start,5605
member,7,2,end,3752
casual,7,2,end,5030
member,7,2,start,3181
casual,7,2,start,4109
member,7,3,end,1902
casual,7,3,end,2355
member,7,3,start,1825
casual,7,3,start,2136
member,7,4,end,1327
casual,7,4,end,1510
member,7,4,start,1202
casual,7,4,start,1181
member,7,5,end,1793
casual,7,5,end,1164
member,7,5,start,2135
casual,7,5,start,1336
member,7,6,end,4680
casual,7,6,end,2193
member,7,6,start,5244
casual,7,6,start,2530
member,7,7,end,8581
casual,7,7,end,4018
member,7,7,start,9860
casual,7,7,start,5109
member,7,8,end,16051
casual,7,8,end,8434
member,7,8,start,17490
casual,7,8,start,9976
member,7,9,end,22530
casual,7,9,end,13244
member,7,9,start,24105
casual,7,9,start,15933
casual,7,10,end,19988
member,7,10,end,28682
casual,7,10,start,22805
member,7,10,start,29734
casual,7,11,end,25597
member,7,11,end,31738
casual,7,11,start,29128
member,7,11,start,32640
casual,7,12,end,31600
member,7,12,end,34012
casual,7,12,start,32597
member,7,12,start,34435
casual,7,13,end,33779
member,7,13,end,34477
casual,7,13,start,34494
member,7,13,start,34400
casual,7,14,end,34786
member,7,14,end,34045
casual,7,14,start,34778
member,7,14,start,34124
casual,7,15,end,35471
member,7,15,end,33920
casual,7,15,start,35414
member,7,15,start,33801
casual,7,16,end,35465
member,7,16,end,34054
casual,7,16,start,33681
member,7,16,start,33901
casual,7,17,end,31581
member,7,17,end,32125
casual,7,17,start,29723
member,7,17,start,31614
member,7,18,end,30047
casual,7,18,end,27604
member,7,18,start,29189
casual,7,18,start,25554
member,7,19,end,24931
casual,7,19,end,22285
member,7,19,start,23187
casual,7,19,start,19844
member,7,20,end,18326
casual,7,20,end,16409
member,7,20,start,17192
casual,7,20,start,14814
member,7,21,end,14610
casual,7,21,end,13749
member,7,21,start,14230
casual,7,21,start,13766
member,7,22,end,13588
casual,7,22,end,14314
member,7,22,start,13298
casual,7,22,start,14246
member,7,23,end,11235
casual,7,23,end,12791
member,7,23,start,10495
casual,7,23,start,11538
